operator_matricule,operation_code,shift_date,shift,duration_hours
OP-001,OP-TRIM-01,2025-10-01,matin,8
OP-001,OP-TRIM-01,2025-10-02,matin,8
OP-001,OP-TRIM-01,2025-10-08,matin,8
OP-001,OP-TRIM-02,2025-10-15,matin,8
OP-001,OP-TRIM-01,2025-11-03,matin,8
OP-001,OP-TRIM-01,2025-11-10,matin,8
OP-001,OP-TRIM-02,2025-11-24,matin,8
OP-001,OP-TRIM-01,2025-12-01,matin,8
OP-001,OP-TRIM-01,2025-12-15,matin,8
OP-001,OP-TRIM-01,2026-01-05,matin,8
OP-001,OP-TRIM-02,2026-01-19,matin,8
OP-001,OP-TRIM-01,2026-02-02,matin,8
OP-001,OP-TRIM-01,2026-02-16,matin,8
OP-001,OP-TRIM-01,2026-03-02,matin,8
OP-001,OP-TRIM-01,2026-03-16,matin,8
OP-001,OP-TRIM-01,2026-03-28,matin,8
OP-002,OP-TRIM-01,2025-10-01,matin,8
OP-002,OP-TRIM-01,2025-10-07,matin,8
OP-002,OP-TRIM-01,2025-10-14,matin,8
OP-002,OP-TRIM-01,2025-11-04,matin,8
OP-002,OP-TRIM-01,2025-12-02,matin,8
OP-002,OP-TRIM-01,2026-01-06,matin,8
OP-002,OP-TRIM-01,2026-02-03,matin,8
OP-002,OP-TRIM-03,2025-10-20,matin,8
OP-002,OP-TRIM-03,2025-11-17,matin,8
OP-002,OP-TRIM-01,2026-03-10,matin,8
OP-002,OP-TRIM-01,2026-03-25,matin,8
OP-004,OP-CHASSIS-01,2025-10-02,apres-midi,8
OP-004,OP-CHASSIS-01,2025-10-09,apres-midi,8
OP-004,OP-CHASSIS-02,2025-10-16,apres-midi,8
OP-004,OP-CHASSIS-01,2025-11-06,apres-midi,8
OP-004,OP-CHASSIS-01,2025-12-04,apres-midi,8
OP-004,OP-CHASSIS-02,2026-01-08,apres-midi,8
OP-004,OP-CHASSIS-01,2026-02-05,apres-midi,8
OP-004,OP-CHASSIS-01,2026-03-05,apres-midi,8
OP-004,OP-CHASSIS-01,2026-03-19,apres-midi,8
OP-005,OP-CHASSIS-02,2025-10-03,apres-midi,8
OP-005,OP-CHASSIS-02,2025-10-17,apres-midi,8
OP-005,OP-CHASSIS-01,2025-11-07,apres-midi,8
OP-005,OP-CHASSIS-02,2025-12-05,apres-midi,8
OP-005,OP-CHASSIS-02,2026-01-09,apres-midi,8
OP-005,OP-CHASSIS-02,2026-02-06,apres-midi,8
OP-005,OP-CHASSIS-02,2026-03-06,apres-midi,8
OP-005,OP-CHASSIS-03,2026-01-23,apres-midi,8
OP-007,OP-ELEC-01,2025-10-06,nuit,8
OP-007,OP-ELEC-01,2025-10-13,nuit,8
OP-007,OP-ELEC-02,2025-10-27,nuit,8
OP-007,OP-ELEC-01,2025-11-10,nuit,8
OP-007,OP-ELEC-01,2025-12-08,nuit,8
OP-007,OP-ELEC-02,2025-12-22,nuit,8
OP-007,OP-ELEC-01,2026-01-12,nuit,8
OP-007,OP-ELEC-01,2026-02-09,nuit,8
OP-007,OP-ELEC-01,2026-03-09,nuit,8
OP-007,OP-ELEC-01,2026-03-23,nuit,8
OP-008,OP-ELEC-02,2025-10-07,nuit,8
OP-008,OP-ELEC-02,2025-10-21,nuit,8
OP-008,OP-ELEC-03,2025-11-04,nuit,8
OP-008,OP-ELEC-02,2025-12-02,nuit,8
OP-008,OP-ELEC-02,2026-01-06,nuit,8
OP-008,OP-ELEC-03,2026-02-03,nuit,8
OP-008,OP-ELEC-02,2026-03-03,nuit,8
OP-010,OP-TRIM-03,2025-10-08,matin,8
OP-010,OP-TRIM-03,2025-10-22,matin,8
OP-010,OP-TRIM-04,2025-11-05,matin,8
OP-010,OP-TRIM-03,2025-12-03,matin,8
OP-010,OP-TRIM-03,2026-01-07,matin,8
OP-010,OP-TRIM-03,2026-02-04,matin,8
OP-010,OP-TRIM-03,2026-03-04,matin,8
OP-010,OP-TRIM-03,2026-03-18,matin,8
OP-011,OP-TRIM-04,2025-10-09,matin,8
OP-011,OP-TRIM-04,2025-10-23,matin,8
OP-011,OP-TRIM-01,2025-11-06,matin,8
OP-011,OP-TRIM-04,2025-12-04,matin,8
OP-011,OP-TRIM-04,2026-01-08,matin,8
OP-011,OP-TRIM-04,2026-02-05,matin,8
OP-011,OP-TRIM-04,2026-03-05,matin,8
OP-012,OP-CHASSIS-03,2025-10-10,apres-midi,8
OP-012,OP-CHASSIS-03,2025-10-24,apres-midi,8
OP-012,OP-CHASSIS-03,2025-11-07,apres-midi,8
OP-012,OP-CHASSIS-03,2025-12-05,apres-midi,8
OP-012,OP-CHASSIS-03,2026-01-09,apres-midi,8
OP-012,OP-CHASSIS-03,2026-02-06,apres-midi,8
OP-014,OP-FINAL-01,2025-10-13,nuit,8
OP-014,OP-FINAL-01,2025-10-27,nuit,8
OP-014,OP-FINAL-02,2025-11-10,nuit,8
OP-014,OP-FINAL-01,2025-12-08,nuit,8
OP-014,OP-FINAL-01,2026-01-12,nuit,8
OP-014,OP-FINAL-01,2026-02-09,nuit,8
OP-014,OP-FINAL-01,2026-03-09,nuit,8
OP-015,OP-ELEC-01,2025-10-14,matin,8
OP-015,OP-ELEC-01,2025-11-11,matin,8
OP-015,OP-ELEC-02,2025-12-09,matin,8
OP-015,OP-ELEC-01,2026-01-13,matin,8
OP-015,OP-ELEC-01,2026-02-10,matin,4
OP-016,OP-CHASSIS-01,2025-10-15,apres-midi,8
OP-016,OP-CHASSIS-02,2025-11-12,apres-midi,8
OP-016,OP-CHASSIS-01,2025-12-10,apres-midi,8
OP-017,OP-FINAL-02,2025-10-16,nuit,8
OP-017,OP-FINAL-02,2025-11-13,nuit,8
OP-017,OP-FINAL-01,2026-01-14,nuit,8
OP-018,OP-TRIM-02,2025-10-17,matin,8
OP-018,OP-TRIM-02,2025-11-14,matin,8
OP-018,OP-TRIM-03,2025-12-12,matin,8
OP-019,OP-CHASSIS-02,2025-10-20,apres-midi,8
OP-019,OP-CHASSIS-03,2025-11-17,apres-midi,8
OP-020,OP-ELEC-03,2025-10-21,nuit,8
OP-020,OP-ELEC-03,2025-11-18,nuit,8
OP-020,OP-ELEC-03,2025-12-16,nuit,8
OP-020,OP-ELEC-03,2026-01-20,nuit,8
OP-020,OP-ELEC-03,2026-02-17,nuit,8
OP-020,OP-ELEC-03,2026-03-17,nuit,8
