operator_matricule,operation_code,defects_per_100,pieces_produced,period_start,period_end
OP-001,OP-TRIM-01,0.8,250,2025-10-01,2026-03-31
OP-001,OP-TRIM-02,1.2,180,2025-10-01,2026-03-31
OP-002,OP-TRIM-01,0.4,310,2025-10-01,2026-03-31
OP-002,OP-TRIM-03,2.1,95,2025-10-01,2026-03-31
OP-004,OP-CHASSIS-01,1.5,200,2025-10-01,2026-03-31
OP-004,OP-CHASSIS-02,1.8,160,2025-10-01,2026-03-31
OP-005,OP-CHASSIS-02,0.9,210,2025-10-01,2026-03-31
OP-005,OP-CHASSIS-01,2.3,85,2025-10-01,2026-03-31
OP-005,OP-CHASSIS-03,3.1,65,2025-10-01,2026-03-31
OP-007,OP-ELEC-01,1.0,240,2025-10-01,2026-03-31
OP-007,OP-ELEC-02,1.4,175,2025-10-01,2026-03-31
OP-008,OP-ELEC-02,0.6,220,2025-10-01,2026-03-31
OP-008,OP-ELEC-03,2.0,110,2025-10-01,2026-03-31
OP-010,OP-TRIM-03,1.1,195,2025-10-01,2026-03-31
OP-010,OP-TRIM-04,0.5,155,2025-10-01,2026-03-31
OP-011,OP-TRIM-04,0.7,180,2025-10-01,2026-03-31
OP-011,OP-TRIM-01,1.9,75,2025-10-01,2026-03-31
OP-012,OP-CHASSIS-03,1.3,165,2025-10-01,2026-03-31
OP-014,OP-FINAL-01,0.3,280,2025-10-01,2026-03-31
OP-014,OP-FINAL-02,0.8,130,2025-10-01,2026-03-31
OP-015,OP-ELEC-01,2.5,90,2025-10-01,2026-03-31
OP-015,OP-ELEC-02,3.2,60,2025-10-01,2026-03-31
OP-016,OP-CHASSIS-01,1.6,120,2025-10-01,2026-03-31
OP-016,OP-CHASSIS-02,2.2,80,2025-10-01,2026-03-31
OP-017,OP-FINAL-02,1.0,150,2025-10-01,2026-03-31
OP-017,OP-FINAL-01,2.8,70,2025-10-01,2026-03-31
OP-018,OP-TRIM-02,1.5,110,2025-10-01,2026-03-31
OP-018,OP-TRIM-03,3.0,55,2025-10-01,2026-03-31
OP-019,OP-CHASSIS-02,2.0,90,2025-10-01,2026-03-31
OP-019,OP-CHASSIS-03,2.7,60,2025-10-01,2026-03-31
OP-020,OP-ELEC-03,0.5,320,2025-10-01,2026-03-31
