operator_matricule,operation_code,mastery_score,last_practice,decay_rate,total_hours
OP-001,OP-TRIM-01,92.0,2026-03-28,90,156.0
OP-001,OP-TRIM-02,78.0,2026-01-19,90,89.0
OP-002,OP-TRIM-01,95.0,2026-03-25,90,168.0
OP-002,OP-TRIM-03,55.0,2025-11-17,90,32.0
OP-004,OP-CHASSIS-01,88.0,2026-03-19,90,128.0
OP-004,OP-CHASSIS-02,72.0,2026-01-08,90,76.0
OP-005,OP-CHASSIS-02,90.0,2026-03-06,90,140.0
OP-005,OP-CHASSIS-01,61.0,2025-11-07,90,48.0
OP-005,OP-CHASSIS-03,45.0,2026-01-23,90,24.0
OP-007,OP-ELEC-01,91.0,2026-03-23,90,148.0
OP-007,OP-ELEC-02,74.0,2025-12-22,90,82.0
OP-008,OP-ELEC-02,93.0,2026-03-03,90,152.0
OP-008,OP-ELEC-03,62.0,2026-02-03,90,52.0
OP-010,OP-TRIM-03,87.0,2026-03-18,90,120.0
OP-010,OP-TRIM-04,66.0,2025-11-05,90,58.0
OP-011,OP-TRIM-04,89.0,2026-03-05,90,136.0
OP-011,OP-TRIM-01,43.0,2025-11-06,90,22.0
OP-012,OP-CHASSIS-03,76.0,2026-02-06,90,94.0
OP-014,OP-FINAL-01,94.0,2026-03-09,90,160.0
OP-014,OP-FINAL-02,69.0,2025-11-10,90,64.0
OP-015,OP-ELEC-01,52.0,2026-02-10,90,38.0
OP-015,OP-ELEC-02,38.0,2025-12-09,90,18.0
OP-016,OP-CHASSIS-01,57.0,2025-12-10,90,44.0
OP-016,OP-CHASSIS-02,48.0,2025-11-12,90,28.0
OP-017,OP-FINAL-02,80.0,2025-11-13,90,102.0
OP-017,OP-FINAL-01,35.0,2026-01-14,90,14.0
OP-018,OP-TRIM-02,50.0,2025-11-14,90,32.0
OP-018,OP-TRIM-03,30.0,2025-12-12,90,12.0
OP-019,OP-CHASSIS-02,42.0,2025-11-17,90,20.0
OP-019,OP-CHASSIS-03,33.0,2025-10-20,90,10.0
OP-020,OP-ELEC-03,96.0,2026-03-17,90,180.0
OP-006,OP-TRIM-01,40.0,2025-12-01,90,20.0
OP-006,OP-CHASSIS-01,32.0,2025-10-15,90,12.0
OP-013,OP-CHASSIS-03,68.0,2026-01-20,90,72.0
OP-013,OP-CHASSIS-02,55.0,2025-12-18,90,44.0
OP-003,OP-TRIM-01,71.0,2026-02-20,90,80.0
OP-003,OP-TRIM-02,60.0,2025-11-10,90,48.0
